2021-02-25 13:47:39,810 DEBUG  ROS Time: 137 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:41,819 DEBUG  ROS Time: 139 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:43,826 DEBUG  ROS Time: 141 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:45,832 DEBUG  ROS Time: 143 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:47,844 DEBUG  ROS Time: 145 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:49,851 DEBUG  ROS Time: 147 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:51,858 DEBUG  ROS Time: 149 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:53,867 DEBUG  ROS Time: 151 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:55,875 DEBUG  ROS Time: 153 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:57,881 DEBUG  ROS Time: 155 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:47:59,888 DEBUG  ROS Time: 157 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:01,895 DEBUG  ROS Time: 159 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:03,903 DEBUG  ROS Time: 161 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:05,913 DEBUG  ROS Time: 163 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:07,920 DEBUG  ROS Time: 165 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:09,926 DEBUG  ROS Time: 167 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:11,933 DEBUG  ROS Time: 169 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:13,941 DEBUG  ROS Time: 171 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:15,950 DEBUG  ROS Time: 173 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:17,955 DEBUG  ROS Time: 175 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:19,964 DEBUG  ROS Time: 177 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:21,970 DEBUG  ROS Time: 179 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:23,980 DEBUG  ROS Time: 181 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:25,987 DEBUG  ROS Time: 183 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:27,997 DEBUG  ROS Time: 185 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:30,005 DEBUG  ROS Time: 187 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:32,010 DEBUG  ROS Time: 189 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:34,016 DEBUG  ROS Time: 191 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:36,024 DEBUG  ROS Time: 193 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:38,034 DEBUG  ROS Time: 195 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:40,040 DEBUG  ROS Time: 197 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:42,047 DEBUG  ROS Time: 199 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:44,058 DEBUG  ROS Time: 201 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:46,064 DEBUG  ROS Time: 203 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:48,078 DEBUG  ROS Time: 205 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:50,082 DEBUG  ROS Time: 207 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:52,088 DEBUG  ROS Time: 209 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:54,097 DEBUG  ROS Time: 211 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:56,118 DEBUG  ROS Time: 213 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:48:58,132 DEBUG  ROS Time: 215 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:00,143 DEBUG  ROS Time: 217 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:02,151 DEBUG  ROS Time: 219 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:04,158 DEBUG  ROS Time: 221 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:06,165 DEBUG  ROS Time: 223 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:08,172 DEBUG  ROS Time: 225 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:10,179 DEBUG  ROS Time: 227 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:12,188 DEBUG  ROS Time: 229 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:14,193 DEBUG  ROS Time: 231 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:16,200 DEBUG  ROS Time: 233 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:18,207 DEBUG  ROS Time: 235 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:20,214 DEBUG  ROS Time: 237 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:22,222 DEBUG  ROS Time: 239 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:24,230 DEBUG  ROS Time: 241 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:26,238 DEBUG  ROS Time: 243 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:28,245 DEBUG  ROS Time: 245 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:30,252 DEBUG  ROS Time: 247 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:32,262 DEBUG  ROS Time: 249 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:34,267 DEBUG  ROS Time: 251 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:36,272 DEBUG  ROS Time: 253 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:38,281 DEBUG  ROS Time: 255 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:40,289 DEBUG  ROS Time: 257 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:42,296 DEBUG  ROS Time: 259 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:44,304 DEBUG  ROS Time: 261 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:46,311 DEBUG  ROS Time: 263 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:48,317 DEBUG  ROS Time: 265 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:50,324 DEBUG  ROS Time: 267 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:52,330 DEBUG  ROS Time: 269 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:54,336 DEBUG  ROS Time: 271 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:56,344 DEBUG  ROS Time: 273 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:49:58,349 DEBUG  ROS Time: 275 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:00,354 DEBUG  ROS Time: 277 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:02,360 DEBUG  ROS Time: 279 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:04,367 DEBUG  ROS Time: 281 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:06,375 DEBUG  ROS Time: 283 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:08,380 DEBUG  ROS Time: 285 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:10,388 DEBUG  ROS Time: 287 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:12,394 DEBUG  ROS Time: 289 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:14,402 DEBUG  ROS Time: 291 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:16,409 DEBUG  ROS Time: 293 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:18,419 DEBUG  ROS Time: 295 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:20,429 DEBUG  ROS Time: 297 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:22,435 DEBUG  ROS Time: 299 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:24,440 DEBUG  ROS Time: 301 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:26,448 DEBUG  ROS Time: 303 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:28,458 DEBUG  ROS Time: 305 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:30,464 DEBUG  ROS Time: 307 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:32,468 DEBUG  ROS Time: 309 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:34,479 DEBUG  ROS Time: 311 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:36,489 DEBUG  ROS Time: 313 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:38,503 DEBUG  ROS Time: 315 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:40,517 DEBUG  ROS Time: 317 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:42,527 DEBUG  ROS Time: 319 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:44,537 DEBUG  ROS Time: 321 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:46,548 DEBUG  ROS Time: 323 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:48,560 DEBUG  ROS Time: 325 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:50,569 DEBUG  ROS Time: 327 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-02-25 13:50:52,576 DEBUG  ROS Time: 329 | active tasks: 0 | terminated tasks: 0 | active robots: 2
