2021-08-17 18:15:37,274 DEBUG  ROS Time: 177 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:39,282 DEBUG  ROS Time: 179 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:41,290 DEBUG  ROS Time: 181 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:43,301 DEBUG  ROS Time: 183 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:45,308 DEBUG  ROS Time: 185 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:47,313 DEBUG  ROS Time: 187 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:49,320 DEBUG  ROS Time: 189 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:51,331 DEBUG  ROS Time: 191 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:53,339 DEBUG  ROS Time: 193 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:55,347 DEBUG  ROS Time: 195 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:57,354 DEBUG  ROS Time: 197 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:15:59,358 DEBUG  ROS Time: 199 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:01,363 DEBUG  ROS Time: 201 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:03,390 DEBUG  ROS Time: 203 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:05,395 DEBUG  ROS Time: 204 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:07,402 DEBUG  ROS Time: 206 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:09,411 DEBUG  ROS Time: 208 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:11,422 DEBUG  ROS Time: 210 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:13,431 DEBUG  ROS Time: 212 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:15,440 DEBUG  ROS Time: 214 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:17,451 DEBUG  ROS Time: 216 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:19,456 DEBUG  ROS Time: 218 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:21,464 DEBUG  ROS Time: 220 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:23,469 DEBUG  ROS Time: 222 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:25,477 DEBUG  ROS Time: 224 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:27,487 DEBUG  ROS Time: 226 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:29,504 DEBUG  ROS Time: 228 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:31,513 DEBUG  ROS Time: 230 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:33,520 DEBUG  ROS Time: 232 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:35,528 DEBUG  ROS Time: 234 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:37,536 DEBUG  ROS Time: 236 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:39,545 DEBUG  ROS Time: 238 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:41,549 DEBUG  ROS Time: 240 | active tasks: 0 | terminated tasks: 0 | active robots: 2
2021-08-17 18:16:43,553 DEBUG  ROS Time: 242 | active tasks: 0 | terminated tasks: 0 | active robots: 2
