2021-07-27 11:14:56,809 DEBUG  ROS Time: 214 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:14:58,818 DEBUG  ROS Time: 216 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:00,826 DEBUG  ROS Time: 218 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:02,833 DEBUG  ROS Time: 220 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:04,839 DEBUG  ROS Time: 222 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:06,845 DEBUG  ROS Time: 224 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:08,851 DEBUG  ROS Time: 226 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:10,858 DEBUG  ROS Time: 228 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:12,863 DEBUG  ROS Time: 230 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:14,871 DEBUG  ROS Time: 232 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:16,876 DEBUG  ROS Time: 234 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:18,882 DEBUG  ROS Time: 236 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:20,890 DEBUG  ROS Time: 238 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:22,897 DEBUG  ROS Time: 240 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:24,907 DEBUG  ROS Time: 242 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:26,912 DEBUG  ROS Time: 244 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:28,921 DEBUG  ROS Time: 246 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:30,930 DEBUG  ROS Time: 248 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:32,937 DEBUG  ROS Time: 250 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:34,946 DEBUG  ROS Time: 252 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:36,955 DEBUG  ROS Time: 254 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:38,962 DEBUG  ROS Time: 256 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:40,970 DEBUG  ROS Time: 258 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:42,978 DEBUG  ROS Time: 260 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:44,989 DEBUG  ROS Time: 262 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:46,997 DEBUG  ROS Time: 264 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:49,004 DEBUG  ROS Time: 266 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:51,012 DEBUG  ROS Time: 268 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:53,020 DEBUG  ROS Time: 270 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:55,026 DEBUG  ROS Time: 272 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:57,033 DEBUG  ROS Time: 274 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:15:59,042 DEBUG  ROS Time: 276 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:01,050 DEBUG  ROS Time: 278 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:03,058 DEBUG  ROS Time: 280 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:05,065 DEBUG  ROS Time: 282 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:07,071 DEBUG  ROS Time: 284 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:09,074 DEBUG  ROS Time: 286 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:11,083 DEBUG  ROS Time: 288 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:13,090 DEBUG  ROS Time: 290 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:15,097 DEBUG  ROS Time: 292 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:17,104 DEBUG  ROS Time: 294 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:19,114 DEBUG  ROS Time: 296 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:21,122 DEBUG  ROS Time: 298 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:23,129 DEBUG  ROS Time: 300 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:25,136 DEBUG  ROS Time: 302 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:27,144 DEBUG  ROS Time: 304 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:29,153 DEBUG  ROS Time: 306 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:31,162 DEBUG  ROS Time: 308 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:33,169 DEBUG  ROS Time: 310 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:35,176 DEBUG  ROS Time: 312 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:37,185 DEBUG  ROS Time: 314 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:39,192 DEBUG  ROS Time: 316 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:41,203 DEBUG  ROS Time: 318 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:43,210 DEBUG  ROS Time: 320 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:45,217 DEBUG  ROS Time: 322 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:47,226 DEBUG  ROS Time: 324 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:49,234 DEBUG  ROS Time: 326 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:51,242 DEBUG  ROS Time: 328 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:53,252 DEBUG  ROS Time: 330 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:55,280 DEBUG  ROS Time: 332 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:57,287 DEBUG  ROS Time: 334 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:16:59,295 DEBUG  ROS Time: 336 | active tasks: 0 | terminated tasks: 1 | active robots: 2
2021-07-27 11:17:01,301 DEBUG  ROS Time: 338 | active tasks: 0 | terminated tasks: 1 | active robots: 2
